team_id,dow,start_local,end_local
EXT_MANILA,0,00:00,00:00
EXT_MANILA,1,00:00,00:00
EXT_MANILA,2,00:00,00:00
EXT_MANILA,3,00:00,00:00
EXT_MANILA,4,00:00,00:00
EXT_MANILA,5,00:00,00:00
EXT_MANILA,6,00:00,00:00
EXT_CASA,0,00:00,00:00
EXT_CASA,1,00:00,00:00
EXT_CASA,2,00:00,00:00
EXT_CASA,3,00:00,00:00
EXT_CASA,4,00:00,00:00
EXT_CASA,5,00:00,00:00
EXT_CASA,6,00:00,00:00
EXT_TANA,0,00:00,00:00
EXT_TANA,1,00:00,00:00
EXT_TANA,2,00:00,00:00
EXT_TANA,3,00:00,00:00
EXT_TANA,4,00:00,00:00
EXT_TANA,5,00:00,00:00
EXT_TANA,6,00:00,00:00
EXT_TUNIS,0,00:00,00:00
EXT_TUNIS,1,00:00,00:00
EXT_TUNIS,2,00:00,00:00
EXT_TUNIS,3,00:00,00:00
EXT_TUNIS,4,00:00,00:00
EXT_TUNIS,5,00:00,00:00
EXT_TUNIS,6,00:00,00:00
EXT_DGKAR,0,00:00,00:00
EXT_DGKAR,1,00:00,00:00
EXT_DGKAR,2,00:00,00:00
EXT_DGKAR,3,00:00,00:00
EXT_DGKAR,4,00:00,00:00
EXT_DGKAR,5,00:00,00:00
EXT_DGKAR,6,00:00,00:00
INT_PARIS,0,08:00,20:00
INT_PARIS,1,08:00,20:00
INT_PARIS,2,08:00,20:00
INT_PARIS,3,08:00,20:00
INT_PARIS,4,08:00,20:00
