team_id,dow,start_local,end_local,headcount
EXT_MANILA,0,06:00,14:00,30
EXT_MANILA,1,06:00,14:00,30
EXT_MANILA,2,06:00,14:00,30
EXT_MANILA,3,06:00,14:00,30
EXT_MANILA,4,06:00,14:00,30
EXT_MANILA,0,14:00,22:00,30
EXT_MANILA,1,14:00,22:00,30
EXT_MANILA,2,14:00,22:00,30
EXT_MANILA,3,14:00,22:00,30
EXT_MANILA,4,14:00,22:00,30
EXT_MANILA,5,06:00,14:00,18
EXT_MANILA,6,06:00,14:00,18
EXT_MANILA,5,14:00,22:00,18
EXT_MANILA,6,14:00,22:00,18
EXT_CASA,0,08:00,16:00,28
EXT_CASA,1,08:00,16:00,28
EXT_CASA,2,08:00,16:00,28
EXT_CASA,3,08:00,16:00,28
EXT_CASA,4,08:00,16:00,28
EXT_CASA,0,16:00,00:00,28
EXT_CASA,1,16:00,00:00,28
EXT_CASA,2,16:00,00:00,28
EXT_CASA,3,16:00,00:00,28
EXT_CASA,4,16:00,00:00,28
EXT_CASA,5,08:00,16:00,16
EXT_CASA,6,08:00,16:00,16
EXT_CASA,5,16:00,00:00,16
EXT_CASA,6,16:00,00:00,16
EXT_TANA,0,09:00,17:00,22
EXT_TANA,1,09:00,17:00,22
EXT_TANA,2,09:00,17:00,22
EXT_TANA,3,09:00,17:00,22
EXT_TANA,4,09:00,17:00,22
EXT_TANA,0,17:00,01:00,22
EXT_TANA,1,17:00,01:00,22
EXT_TANA,2,17:00,01:00,22
EXT_TANA,3,17:00,01:00,22
EXT_TANA,4,17:00,01:00,22
EXT_TANA,5,09:00,17:00,13
EXT_TANA,6,09:00,17:00,13
EXT_TUNIS,0,00:00,08:00,18
EXT_TUNIS,1,00:00,08:00,18
EXT_TUNIS,2,00:00,08:00,18
EXT_TUNIS,3,00:00,08:00,18
EXT_TUNIS,4,00:00,08:00,18
INT_PARIS,0,09:00,18:00,24
INT_PARIS,1,09:00,18:00,24
INT_PARIS,2,09:00,18:00,24
INT_PARIS,3,09:00,18:00,24
INT_PARIS,4,09:00,18:00,24
INT_PARIS,5,10:00,16:00,8
INT_BARCELONA,0,09:00,18:00,20
INT_BARCELONA,1,09:00,18:00,20
INT_BARCELONA,2,09:00,18:00,20
INT_BARCELONA,3,09:00,18:00,20
INT_BARCELONA,4,09:00,18:00,20
INT_BARCELONA,6,10:00,16:00,7
INT_LISBON,0,08:00,17:00,16
INT_LISBON,1,08:00,17:00,16
INT_LISBON,2,08:00,17:00,16
INT_LISBON,3,08:00,17:00,16
INT_LISBON,4,08:00,17:00,16
