dow,slot_local,weight
0,0,6.056072968143121e-08
0,1,1.1226185777892239e-07
0,2,2.048743078583722e-07
0,3,3.680924609810477e-07
0,4,6.510892047353607e-07
0,5,1.1338046023891242e-06
0,6,1.943793320241041e-06
0,7,3.280772410475014e-06
0,8,5.451503207186141e-06
0,9,8.918064086369956e-06
0,10,1.4362798090772808e-05
0,11,2.2773074731336825e-05
0,12,3.55482673185596e-05
0,13,5.462976771947585e-05
0,14,8.265220074826489e-05
0,15,0.00012311008812450645
0,16,0.00018052901664253397
0,17,0.0002606240847156712
0,18,0.0003704215437010937
0,19,0.000518312988206875
0,20,0.0007140064213327716
0,21,0.0009683365501638721
0,22,0.0012928993827989383
0,23,0.0016994850537238111
0,24,0.0021992987169527317
0,25,0.002801982313050646
0,26,0.0035144787821048775
0,27,0.004339812171271406
0,28,0.0063592681332481716
0,29,0.007397823342786614
0,30,0.008523668423431172
0,31,0.009714361865840172
0,32,0.010940434559967906
0,33,0.012166239767181154
0,34,0.01335144465568428
0,35,0.014453108418751652
0,36,0.015428218377285021
0,37,0.01623648963896494
0,38,0.01684318628602688
0,39,0.017221701300540466
0,40,0.017355643593540346
0,41,0.017240223965669096
0,42,0.016882802897961978
0,43,0.016302552530888248
0,44,0.015529280703661915
0,45,0.014601553073411856
0,46,0.01356431785919729
0,47,0.012466277606856913
0,48,0.011357259133865176
0,49,0.010285807287283502
0,50,0.00929717598069824
0,51,0.008431820485693015
0,52,0.007724419402473496
0,53,0.007203384415288689
0,54,0.006890760426981675
0,55,0.006802384527741628
0,56,0.006948162360207933
0,57,0.007332333945205531
0,58,0.007953633869880518
0,59,0.008805296545975205
0,60,0.00987490843384471
0,61,0.011144157982211226
0,62,0.012588573666252127
0,63,0.01417736559348117
0,64,0.01587349341397383
0,65,0.017634071729795826
0,66,0.019411195147506395
0,67,0.021153221940276228
0,68,0.02280650305772776
0,69,0.02431748815678821
0,70,0.025635089099558726
0,71,0.026713140351540314
0,72,0.027512770236477392
0,73,0.02800449065405213
0,74,0.028169827012564843
0,75,0.028002343686264402
0,76,0.027507969822529853
0,77,0.026704590380041804
0,78,0.025620931176058633
0,79,0.024294827344534677
0,80,0.022771015352480384
0,81,0.02109862433898397
0,82,0.01932855976991506
0,83,0.017510970310987296
0,84,0.01569296881030203
0,85,0.013916743750331764
0,86,0.012218153303713723
0,87,0.010625845724359347
0,88,0.009160902672506232
0,89,0.007836960910300401
0,90,0.006660736067315469
0,91,0.004549471675225055
0,92,0.0036654889086183066
0,93,0.0029170320050695255
0,94,0.0022929195569758604
0,95,0.001780224537658672
1,0,6.056072968143121e-08
1,1,1.1226185777892239e-07
1,2,2.048743078583722e-07
1,3,3.680924609810477e-07
1,4,6.510892047353607e-07
1,5,1.1338046023891242e-06
1,6,1.943793320241041e-06
1,7,3.280772410475014e-06
1,8,5.451503207186141e-06
1,9,8.918064086369956e-06
1,10,1.4362798090772808e-05
1,11,2.2773074731336825e-05
1,12,3.55482673185596e-05
1,13,5.462976771947585e-05
1,14,8.265220074826489e-05
1,15,0.00012311008812450645
1,16,0.00018052901664253397
1,17,0.0002606240847156712
1,18,0.0003704215437010937
1,19,0.000518312988206875
1,20,0.0007140064213327716
1,21,0.0009683365501638721
1,22,0.0012928993827989383
1,23,0.0016994850537238111
1,24,0.0021992987169527317
1,25,0.002801982313050646
1,26,0.0035144787821048775
1,27,0.004339812171271406
1,28,0.0063592681332481716
1,29,0.007397823342786614
1,30,0.008523668423431172
1,31,0.009714361865840172
1,32,0.010940434559967906
1,33,0.012166239767181154
1,34,0.01335144465568428
1,35,0.014453108418751652
1,36,0.015428218377285021
1,37,0.01623648963896494
1,38,0.01684318628602688
1,39,0.017221701300540466
1,40,0.017355643593540346
1,41,0.017240223965669096
1,42,0.016882802897961978
1,43,0.016302552530888248
1,44,0.015529280703661915
1,45,0.014601553073411856
1,46,0.01356431785919729
1,47,0.012466277606856913
1,48,0.011357259133865176
1,49,0.010285807287283502
1,50,0.00929717598069824
1,51,0.008431820485693015
1,52,0.007724419402473496
1,53,0.007203384415288689
1,54,0.006890760426981675
1,55,0.006802384527741628
1,56,0.006948162360207933
1,57,0.007332333945205531
1,58,0.007953633869880518
1,59,0.008805296545975205
1,60,0.00987490843384471
1,61,0.011144157982211226
1,62,0.012588573666252127
1,63,0.01417736559348117
1,64,0.01587349341397383
1,65,0.017634071729795826
1,66,0.019411195147506395
1,67,0.021153221940276228
1,68,0.02280650305772776
1,69,0.02431748815678821
1,70,0.025635089099558726
1,71,0.026713140351540314
1,72,0.027512770236477392
1,73,0.02800449065405213
1,74,0.028169827012564843
1,75,0.028002343686264402
1,76,0.027507969822529853
1,77,0.026704590380041804
1,78,0.025620931176058633
1,79,0.024294827344534677
1,80,0.022771015352480384
1,81,0.02109862433898397
1,82,0.01932855976991506
1,83,0.017510970310987296
1,84,0.01569296881030203
1,85,0.013916743750331764
1,86,0.012218153303713723
1,87,0.010625845724359347
1,88,0.009160902672506232
1,89,0.007836960910300401
1,90,0.006660736067315469
1,91,0.004549471675225055
1,92,0.0036654889086183066
1,93,0.0029170320050695255
1,94,0.0022929195569758604
1,95,0.001780224537658672
2,0,6.056072968143121e-08
2,1,1.1226185777892239e-07
2,2,2.048743078583722e-07
2,3,3.680924609810477e-07
2,4,6.510892047353607e-07
2,5,1.1338046023891242e-06
2,6,1.943793320241041e-06
2,7,3.280772410475014e-06
2,8,5.451503207186141e-06
2,9,8.918064086369956e-06
2,10,1.4362798090772808e-05
2,11,2.2773074731336825e-05
2,12,3.55482673185596e-05
2,13,5.462976771947585e-05
2,14,8.265220074826489e-05
2,15,0.00012311008812450645
2,16,0.00018052901664253397
2,17,0.0002606240847156712
2,18,0.0003704215437010937
2,19,0.000518312988206875
2,20,0.0007140064213327716
2,21,0.0009683365501638721
2,22,0.0012928993827989383
2,23,0.0016994850537238111
2,24,0.0021992987169527317
2,25,0.002801982313050646
2,26,0.0035144787821048775
2,27,0.004339812171271406
2,28,0.0063592681332481716
2,29,0.007397823342786614
2,30,0.008523668423431172
2,31,0.009714361865840172
2,32,0.010940434559967906
2,33,0.012166239767181154
2,34,0.01335144465568428
2,35,0.014453108418751652
2,36,0.015428218377285021
2,37,0.01623648963896494
2,38,0.01684318628602688
2,39,0.017221701300540466
2,40,0.017355643593540346
2,41,0.017240223965669096
2,42,0.016882802897961978
2,43,0.016302552530888248
2,44,0.015529280703661915
2,45,0.014601553073411856
2,46,0.01356431785919729
2,47,0.012466277606856913
2,48,0.011357259133865176
2,49,0.010285807287283502
2,50,0.00929717598069824
2,51,0.008431820485693015
2,52,0.007724419402473496
2,53,0.007203384415288689
2,54,0.006890760426981675
2,55,0.006802384527741628
2,56,0.006948162360207933
2,57,0.007332333945205531
2,58,0.007953633869880518
2,59,0.008805296545975205
2,60,0.00987490843384471
2,61,0.011144157982211226
2,62,0.012588573666252127
2,63,0.01417736559348117
2,64,0.01587349341397383
2,65,0.017634071729795826
2,66,0.019411195147506395
2,67,0.021153221940276228
2,68,0.02280650305772776
2,69,0.02431748815678821
2,70,0.025635089099558726
2,71,0.026713140351540314
2,72,0.027512770236477392
2,73,0.02800449065405213
2,74,0.028169827012564843
2,75,0.028002343686264402
2,76,0.027507969822529853
2,77,0.026704590380041804
2,78,0.025620931176058633
2,79,0.024294827344534677
2,80,0.022771015352480384
2,81,0.02109862433898397
2,82,0.01932855976991506
2,83,0.017510970310987296
2,84,0.01569296881030203
2,85,0.013916743750331764
2,86,0.012218153303713723
2,87,0.010625845724359347
2,88,0.009160902672506232
2,89,0.007836960910300401
2,90,0.006660736067315469
2,91,0.004549471675225055
2,92,0.0036654889086183066
2,93,0.0029170320050695255
2,94,0.0022929195569758604
2,95,0.001780224537658672
3,0,6.056072968143121e-08
3,1,1.1226185777892239e-07
3,2,2.048743078583722e-07
3,3,3.680924609810477e-07
3,4,6.510892047353607e-07
3,5,1.1338046023891242e-06
3,6,1.943793320241041e-06
3,7,3.280772410475014e-06
3,8,5.451503207186141e-06
3,9,8.918064086369956e-06
3,10,1.4362798090772808e-05
3,11,2.2773074731336825e-05
3,12,3.55482673185596e-05
3,13,5.462976771947585e-05
3,14,8.265220074826489e-05
3,15,0.00012311008812450645
3,16,0.00018052901664253397
3,17,0.0002606240847156712
3,18,0.0003704215437010937
3,19,0.000518312988206875
3,20,0.0007140064213327716
3,21,0.0009683365501638721
3,22,0.0012928993827989383
3,23,0.0016994850537238111
3,24,0.0021992987169527317
3,25,0.002801982313050646
3,26,0.0035144787821048775
3,27,0.004339812171271406
3,28,0.0063592681332481716
3,29,0.007397823342786614
3,30,0.008523668423431172
3,31,0.009714361865840172
3,32,0.010940434559967906
3,33,0.012166239767181154
3,34,0.01335144465568428
3,35,0.014453108418751652
3,36,0.015428218377285021
3,37,0.01623648963896494
3,38,0.01684318628602688
3,39,0.017221701300540466
3,40,0.017355643593540346
3,41,0.017240223965669096
3,42,0.016882802897961978
3,43,0.016302552530888248
3,44,0.015529280703661915
3,45,0.014601553073411856
3,46,0.01356431785919729
3,47,0.012466277606856913
3,48,0.011357259133865176
3,49,0.010285807287283502
3,50,0.00929717598069824
3,51,0.008431820485693015
3,52,0.007724419402473496
3,53,0.007203384415288689
3,54,0.006890760426981675
3,55,0.006802384527741628
3,56,0.006948162360207933
3,57,0.007332333945205531
3,58,0.007953633869880518
3,59,0.008805296545975205
3,60,0.00987490843384471
3,61,0.011144157982211226
3,62,0.012588573666252127
3,63,0.01417736559348117
3,64,0.01587349341397383
3,65,0.017634071729795826
3,66,0.019411195147506395
3,67,0.021153221940276228
3,68,0.02280650305772776
3,69,0.02431748815678821
3,70,0.025635089099558726
3,71,0.026713140351540314
3,72,0.027512770236477392
3,73,0.02800449065405213
3,74,0.028169827012564843
3,75,0.028002343686264402
3,76,0.027507969822529853
3,77,0.026704590380041804
3,78,0.025620931176058633
3,79,0.024294827344534677
3,80,0.022771015352480384
3,81,0.02109862433898397
3,82,0.01932855976991506
3,83,0.017510970310987296
3,84,0.01569296881030203
3,85,0.013916743750331764
3,86,0.012218153303713723
3,87,0.010625845724359347
3,88,0.009160902672506232
3,89,0.007836960910300401
3,90,0.006660736067315469
3,91,0.004549471675225055
3,92,0.0036654889086183066
3,93,0.0029170320050695255
3,94,0.0022929195569758604
3,95,0.001780224537658672
4,0,6.056072968143121e-08
4,1,1.1226185777892239e-07
4,2,2.048743078583722e-07
4,3,3.680924609810477e-07
4,4,6.510892047353607e-07
4,5,1.1338046023891242e-06
4,6,1.943793320241041e-06
4,7,3.280772410475014e-06
4,8,5.451503207186141e-06
4,9,8.918064086369956e-06
4,10,1.4362798090772808e-05
4,11,2.2773074731336825e-05
4,12,3.55482673185596e-05
4,13,5.462976771947585e-05
4,14,8.265220074826489e-05
4,15,0.00012311008812450645
4,16,0.00018052901664253397
4,17,0.0002606240847156712
4,18,0.0003704215437010937
4,19,0.000518312988206875
4,20,0.0007140064213327716
4,21,0.0009683365501638721
4,22,0.0012928993827989383
4,23,0.0016994850537238111
4,24,0.0021992987169527317
4,25,0.002801982313050646
4,26,0.0035144787821048775
4,27,0.004339812171271406
4,28,0.0063592681332481716
4,29,0.007397823342786614
4,30,0.008523668423431172
4,31,0.009714361865840172
4,32,0.010940434559967906
4,33,0.012166239767181154
4,34,0.01335144465568428
4,35,0.014453108418751652
4,36,0.015428218377285021
4,37,0.01623648963896494
4,38,0.01684318628602688
4,39,0.017221701300540466
4,40,0.017355643593540346
4,41,0.017240223965669096
4,42,0.016882802897961978
4,43,0.016302552530888248
4,44,0.015529280703661915
4,45,0.014601553073411856
4,46,0.01356431785919729
4,47,0.012466277606856913
4,48,0.011357259133865176
4,49,0.010285807287283502
4,50,0.00929717598069824
4,51,0.008431820485693015
4,52,0.007724419402473496
4,53,0.007203384415288689
4,54,0.006890760426981675
4,55,0.006802384527741628
4,56,0.006948162360207933
4,57,0.007332333945205531
4,58,0.007953633869880518
4,59,0.008805296545975205
4,60,0.00987490843384471
4,61,0.011144157982211226
4,62,0.012588573666252127
4,63,0.01417736559348117
4,64,0.01587349341397383
4,65,0.017634071729795826
4,66,0.019411195147506395
4,67,0.021153221940276228
4,68,0.02280650305772776
4,69,0.02431748815678821
4,70,0.025635089099558726
4,71,0.026713140351540314
4,72,0.027512770236477392
4,73,0.02800449065405213
4,74,0.028169827012564843
4,75,0.028002343686264402
4,76,0.027507969822529853
4,77,0.026704590380041804
4,78,0.025620931176058633
4,79,0.024294827344534677
4,80,0.022771015352480384
4,81,0.02109862433898397
4,82,0.01932855976991506
4,83,0.017510970310987296
4,84,0.01569296881030203
4,85,0.013916743750331764
4,86,0.012218153303713723
4,87,0.010625845724359347
4,88,0.009160902672506232
4,89,0.007836960910300401
4,90,0.006660736067315469
4,91,0.004549471675225055
4,92,0.0036654889086183066
4,93,0.0029170320050695255
4,94,0.0022929195569758604
4,95,0.001780224537658672
5,0,8.407188884420381e-07
5,1,1.2988797228353997e-06
5,2,1.9867541647023313e-06
5,3,3.0086827226353025e-06
5,4,4.510926174368563e-06
5,5,6.6959486951088554e-06
5,6,9.840464290391837e-06
5,7,1.4317795045824462e-05
5,8,2.062499152129295e-05
5,9,2.9414976766637252e-05
5,10,4.153367350116839e-05
5,11,5.8061639676834273e-05
5,12,8.035915870080687e-05
5,13,0.00011011300659383466
5,14,0.00014938226578991039
5,15,0.00020063961243555636
5,16,0.000266803534860423
5,17,0.0003512560367111564
5,18,0.00045783965646355683
5,19,0.000590827233653652
5,20,0.0007548579196116051
5,21,0.0009548336105129233
5,22,0.0011957713929678503
